;Date;Whole Milk Powder;Skimmed Milk Powder;Chedar Cheese;Average Price Index;IFCN Milk Price Index
0;2008-01-01;;;;;50.2
1;2008-01-15;;;;;49.05
2;2008-02-01;;;;;47.9
3;2008-02-15;;;;;47.4
4;2008-03-01;;;;;46.9
5;2008-03-15;;;;;45.95
6;2008-04-01;;;;;45.0
7;2008-04-15;;;;;45.15
8;2008-05-01;;;;;45.3
9;2008-05-15;;;;;45.45
10;2008-06-01;;;;;45.6
11;2008-06-15;4395.0;;;;45.45
12;2008-07-01;4395.0;;;4329.0;45.3
13;2008-07-15;4119.0;;;;43.65
14;2008-08-01;3843.0;;;3843.0;42.0
15;2008-08-15;3574.5;;;;39.4
16;2008-09-01;3306.0;;;3306.0;36.8
17;2008-09-15;3111.5;;;;34.849999999999994
18;2008-10-01;2917.0;;;2917.0;32.9
19;2008-10-15;2751.0;;;;30.45
20;2008-11-01;2585.0;;;2585.0;28.0
21;2008-11-15;2404.0;;;;26.2
22;2008-12-01;2223.0;;;2223.0;24.4
23;2008-12-15;2120.0;;;;22.35
24;2009-01-01;2017.0;;;2017.0;20.3
25;2009-01-15;1934.0;;;;19.8
26;2009-02-01;1851.0;;;1851.0;19.3
27;2009-02-15;2004.5;;;;19.75
28;2009-03-01;2158.0;;;2158.0;20.2
29;2009-03-15;2196.5;;;;20.5
30;2009-04-01;2235.0;;;2235.0;20.8
31;2009-04-15;2189.5;;;;21.15
32;2009-05-01;2144.0;;;2144.0;21.5
33;2009-05-15;2015.0;;;;21.4
34;2009-06-01;1886.0;;;1886.0;21.3
35;2009-06-15;1857.5;;;;21.65
36;2009-07-01;1829.0;;;1829.0;22.0
37;2009-07-15;2065.0;;;;23.1
38;2009-08-01;2301.0;;;2301.0;24.2
39;2009-08-15;2579.5;;;;26.35
40;2009-09-01;2858.0;;;2858.0;28.5
41;2009-09-15;2940.0;;;;30.5
42;2009-10-01;3022.0;;;3022.0;32.5
43;2009-10-15;3229.5;;;;36.6
44;2009-11-01;3437.0;;;3593.0;40.7
45;2009-11-15;3498.5;;;;41.2
46;2009-12-01;3560.0;;;3669.0;41.7
47;2009-12-15;3434.5;;;;39.75
48;2010-01-01;3309.0;;;3472.0;37.8
49;2010-01-15;3282.5;;;;36.95
50;2010-02-01;3256.0;;;3369.0;36.1
51;2010-02-15;3268.5;2927.0;;;36.150000000000006
52;2010-03-01;3281.0;2927.0;;3259.0;36.2
53;2010-03-15;3625.0;3299.5;;;38.0
54;2010-04-01;3969.0;3672.0;;3986.0;39.8
55;2010-04-15;3950.5;3642.0;;;40.55
56;2010-05-01;3932.0;3612.0;;3981.0;41.3
57;2010-05-15;3861.0;3537.0;;;40.4
58;2010-06-01;3790.0;3462.0;;3880.0;39.5
59;2010-06-15;3507.0;3264.5;;;38.55
